,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_WORTH_GROWTH,SALES_REV_TURN,RETURN_ON_ASSET,IS_EPS,WACC
8606,2020,ALOK,27.0597,2.9296,9.5224,68.5731,-43.4584,38475.9,-43.3916,-15.19,9.1404
8607,2021,ALOK,27.0597,2.9296,9.5224,68.5731,-1.4191,73095.0,-2.564,-0.42,9.4091
8608,2022,ALOK,27.0597,2.9296,9.5224,68.5731,-5.5459,69372.9,-11.2241,-1.77,9.9572
8609,2023,ALOK,,,,,,,,,
13293,2003,ARVND,,,,,-0.9363,18074.4004,3.0951,5.4519,4.8905
13294,2004,ARVND,,,,,40.7352,15298.7002,2.996,4.297,5.2193
13295,2005,ARVND,,,,,12.6539,19608.0996,3.6231,5.7714,8.15
13296,2006,ARVND,,,,,25.325,21218.5,2.2776,3.9947,8.6204
13297,2007,ARVND,,,,,-13.0867,21822.1992,3.0231,5.6243,7.4986
13298,2008,ARVND,22.1004,0.0,0.0,66.1349,3.548,26740.2,0.3875,0.7418,4.8215
13299,2009,ARVND,22.1004,0.0,0.0,66.1349,-20.5094,27098.3,-2.468,-4.63,10.1901
13300,2010,ARVND,22.1004,0.0,0.0,66.1349,22.6169,32072.9,1.2191,2.18,11.2126
13301,2011,ARVND,21.1749,0.0,0.0,63.3654,32.0504,38891.7,3.5793,6.89,12.5612
13302,2012,ARVND,26.1543,12.1715,0.0,66.1349,19.6337,47198.8,8.3748,16.9,10.297
13303,2013,ARVND,26.1543,12.1715,0.0,66.1349,11.1649,51729.3,4.2687,9.63,10.821
13304,2014,ARVND,30.1781,19.4201,17.4123,53.6123,14.5964,68621.2,5.2056,13.71,11.3286
13305,2015,ARVND,32.6225,19.7221,14.4498,63.5762,5.4549,78514.0,4.4475,13.21,10.6799
13306,2016,ARVND,29.9266,12.3528,19.6493,57.6761,-2.8445,77767.7,3.8866,12.16,11.0699
13307,2017,ARVND,33.0349,13.1984,22.2189,63.5762,34.7861,89172.5,3.7323,12.18,10.7004
13308,2018,ARVND,33.3467,13.1984,20.6469,66.0747,6.0519,104072.4,3.2702,11.97,10.7278
13309,2019,ARVND,35.5598,13.1984,20.6469,72.6972,-27.2919,69244.4,2.572,8.7477,9.3749
13310,2020,ARVND,32.4917,2.4464,16.2636,78.5972,-1.5219,70840.3,1.3194,3.7,6.4667
13311,2021,ARVND,43.2451,26.5177,24.4861,78.5972,0.3954,48860.5,-0.2379,-0.64,9.2663
13312,2022,ARVND,51.8057,47.4479,29.2624,78.5972,8.5037,75939.1,3.3018,9.17,9.8734
13313,2023,ARVND,51.8057,47.4479,29.2624,78.5972,13.3908,81153.9,5.535,15.51,10.1761
16842,2003,BD,10.3306,,,44.6429,,22861.2,,3.67,9.7975
