Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_INCOME,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,BS_TOT_ASSET,BS_CUR_ASSET_REPORT,BS_TOT_NON_CUR_ASSET,BS_TOTAL_LIABILITIES,BS_CUR_LIAB,NON_CUR_LIAB,BS_PURE_RETAINED_EARNINGS,BS_RETAIN_EARN,IS_TOTAL_EXPENSES,BS_SH_OUT,BS_GOODWILL,CF_DVD_PAID,IS_RD_EXPEND,NET_OPER_PROFIT_AFTER_TAX,NET_OPER_PROFIT_AFTER_TAX.1,NET_INCOME.1,EBIT,EBK_EMPL_TURNOVER_RATE,NUMBER_EMPLOYEES_CSR,WACC_COST_EQUITY,WACC,WACC_COST_DEBT,WACC.1,FNCL_LVRG,BOOK_VAL_PER_SH,IS_EPS,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY
2003-03-31,IPRU,-3.1265,-14.4314,-10.0751,15.06,,,1.7332,3.4689,78.6732,-323336.1388,,,,,-16702.7624,,,,,,,,,,,,,,,,,,,19.9267,-15.7271,16.9802,12.0868,32.7562,-14.1062
2004-03-31,IPRU,-1.1389,-13.4041,-8.5395,18.4551,,,1.7069,3.3079,74.999,-275010.0717,,,,,-13362.8943,,,,,,,,,,,,,,,,,,,20.115,-11.5257,16.4425,11.8127,31.3861,-12.914
2005-03-31,IPRU,0.8488,-12.3769,-7.0039,21.8502,,,1.6805,3.1469,71.3249,-226684.0046,,,,,-10023.0262,,,,,,,,,,,,,,,,,,,20.3033,-7.3242,15.9049,11.5387,30.016,-11.7218
2006-03-31,IPRU,2.8365,-11.3496,-5.4683,25.2453,,,1.6541,2.9859,67.6507,-178357.9375,,,,,-6683.1581,,,,,,,,,,,,,,,,,,,20.4916,-3.1228,15.3672,11.2646,28.6459,-10.5296
2007-03-31,IPRU,4.8242,-10.3224,-3.9327,28.6404,,,1.6278,2.8249,63.9765,-130031.8705,,,,,-3343.29,,,,,,,,,,,,,,,,,,,20.6799,1.0787,14.8296,10.9905,27.2758,-9.3374
2008-03-31,IPRU,6.8118,-9.2952,-2.3971,32.0355,,,1.6014,2.6639,60.3023,-81705.8034,,,,,-3.422,,,,,,,,,,,,,,,,,,,20.8682,5.2802,14.2919,10.7165,25.9057,-8.1451
2009-03-31,IPRU,8.7995,-8.2679,-0.8615,35.4306,,,1.575,2.5029,56.6281,-33379.7363,,,,,3336.4461,,,,,,,,,,,,,,,,,,,21.0565,9.4816,13.7543,10.4424,24.5356,-6.9529
2010-03-31,IPRU,10.7872,-7.2407,0.6741,38.8257,,,1.5487,2.3419,52.9539,14946.3308,,,,,6676.3142,,,,,,,,,,,,,,,,,,,21.2448,13.6831,13.2166,10.1683,23.1655,-5.7607
2011-03-31,IPRU,12.7748,-6.2134,2.2097,42.2208,,,1.5223,2.1809,49.2797,63272.3979,,,,,10016.1823,,,,,,,,,,,,,,,,,,,21.4331,17.8846,12.6789,9.8943,21.7954,-4.5685
2012-03-31,IPRU,14.7625,-5.1862,3.7453,45.6159,13856.9,,1.496,2.0199,45.6055,144339.3,797142.5,,,,17671.1,,-18320.9,-18113.3,,1428.8491,0.0,-3652.6,,,,13856.9,,,,11.1735,11.1735,0.0,11.1735,21.6214,20.8662,9.7,9.6202,20.4253,0.0
2013-03-31,IPRU,16.7502,-4.159,5.2809,49.011,15154.1,,1.4696,1.7871,43.6591,206731.4,898807.4,,,,20169.8,,-8806.7,-8329.1,,1428.9392,0.0,-5148.1,,39647.1817,39647.1817,15154.1,,,,10.2206,10.2206,0.0,10.2206,24.4302,27.7166,10.61,9.3462,32.8385,0.0
2014-03-31,IPRU,18.7379,-3.1317,6.8165,52.4061,15613.5,,1.4432,1.6664,37.4248,220055.8,975139.3,,,,19693.2,,-5984.2,-4122.5,,1429.2557,0.0,-10934.6,,43312.2534,43312.2534,15613.5,,,,11.7106,11.7106,0.0,11.7106,22.4588,30.669,10.93,9.0721,10.6766,0.0
2015-03-31,IPRU,20.7255,-2.1045,8.3521,55.8012,16403.5,,1.4169,1.4552,34.0052,211559.5,1279264.6,,,,21575.1,,446.3,4487.0,,1431.717,0.0,-9865.5,,-82327.7087,-82327.7087,16403.5,,,,11.6729,11.6729,0.0,11.6729,23.3674,36.7689,11.47,8.798,20.0956,0.0
2016-03-31,IPRU,24.5549,0.4228,9.5224,63.5762,16527.2,,1.3905,1.4205,31.2195,208298.9,1047650.2,,,,22013.2,,2494.7,5014.2,,1432.3193,0.0,-14477.7,,47707.1819,47707.1819,16527.2,,,10663.0,12.0664,12.0664,0.0,12.0664,21.9774,37.1669,11.54,8.524,1.1249,0.0
2017-03-31,IPRU,24.7661,0.4228,10.1572,63.5762,16816.612,,1.3887,1.4655,28.674,390201.932,1247408.219,,,,28365.295,,12662.916,15511.597,,1435.3471,0.0,-10266.525,,65832.1586,65832.1586,16816.612,,,12397.0,9.2774,9.2774,0.0,9.2774,19.5665,44.6305,11.72,8.5681,20.3354,0.0
2018-03-31,IPRU,27.1502,0.4228,14.8126,66.0747,16191.653,,1.3451,1.2153,24.3707,400535.821,1417137.371,,,,34478.583,,12662.916,20229.51,,1435.4987,0.0,-11916.884,,77417.3712,77417.3712,16191.653,,,15780.0,10.6384,10.6384,0.0,10.6384,20.0526,47.94,11.28,8.106,7.4266,0.0
2019-03-31,IPRU,27.1502,0.4228,14.8126,66.0747,11389.262,,1.2652,0.7473,16.359,431309.129,1630862.074,,,,36643.988,,12662.916,21788.097,,1435.7845,0.0,-8478.513,,88959.6445,88959.6445,11389.262,,,14099.0,11.6669,11.6669,0.0,11.6669,21.8901,49.0487,7.93,7.1409,2.3332,0.0
